13,"241017
D","Duke Silver (38)
J: Hugh Horgan
T: J P O'brien","6-y-o
10st 9lb",147Spotlight,"40/1
33/1
28/1",33/1,SP
2,"037442
CD","Gowel Road (19)
J: Toby Mccain-Mitchell
T: N & W Twiston-Davies","10-y-o
11st 10lb",154Spotlight,"28/1
33/1
40/1",33/1,SP
12,"52-131
D","Ikarak (69)
J: S Bowen
T: O Murphy","8-y-o
10st 9lb",151Spotlight,"50/1
40/1
50/1",40/1,SP
22,2-11F2,"Onewaywest (49)
J: Elliott England
T: B Pauling","7-y-o
10st 6lb",151Spotlight,"28/1
33/1
40/1",50/1,SP
23,0-2582,"Idem (39)
J: P W Wadge
T: L Russell & M Scudamore","8-y-o
10st 4lb",152Spotlight,"66/1
50/1
66/1",50/1,SP
24,205266,"Ike Sport (45)
J: C O'farrell
T: N P Mulholland","8-y-o
10st 3lb",153Spotlight,"50/1
66/1
50/1",66/1,SP
16,1-1410,"Idy Wood (70)
J: G Sheehan
T: Jamie Snowden","8-y-o
10st 9lb",150Spotlight,"50/1
66/1
80/1",100/1,SP
Non-runners,,,,,,,
26,421122,"Turndlightsdownlow - N/R (56)
J: Reserve 2
T: M Keighley","6-y-o
10st 2lb",152Spotlight,"20/1
25/1
20/1",18/1,SP
25,"733329
D","Lihyan - N/R (39)
J: Reserve 1
T: R Menzies","8-y-o
10st 2lb",154Spotlight,"50/1
40/1",50/1,SP
"16 or more must run for 5 places 1/4 to be paid. 12 or more must run for 4 places 1/4 to be paid. In the event of 11 runners or less, standard EW terms will apply.",,,,,,,
17:20 Cheltenham (3m 2f 70y)23 RunnersGoing: Good,,,,,,,
Rosconn Group Fulke Walwyn Kim Muir Challenge Cup Amateur Jockeys' Handicap Chase (Gbb Race) 2,,,,,,,
"Jumps,",,,,,,,
Watch race,,,,,,,
Bet In-Running,,,,,,,
Verdict,,,,,,,
"Irish challengers have won six of the last seven runnings and PRENDS GARDE A TOI could be the ideal type for this race for Gordon Elliott, who landed it in 2020 with Milan Native who was also a 7yo novice. The selection finished well for fourth over an extended 3m3f at Punchestown last month and a stronger gallop today should see him to excellent effect. Waterford Whispers could relish the step up in trip and he may be the…WWWIrish challengers have won six of the last seven runnings and PRENDS GARDE A TOI could be the ideal type for this race for Gordon Elliott, who landed it in 2020 with Milan Native who was also a 7yo novice. The selection finished well for fourth over an extended 3m3f at Punchestown last month and a stronger gallop today should see him to excellent effect. Waterford Whispers could relish the step up in trip and he may be the m…",,,,,,,
Show More,,,,,,,
Best Odds Guaranteed,,,,,,,
Available! Learn how to opt in here.,,,,,,,
Bambino Fever To Finish In The First Two - Was 1/2,,,,,,,
EVS,,,,,,,
Racecard,,,,,,,
Each Way Extra,,,,,,,
New,,,,,,,
Price Boost,,,,,,,
Lengthen Your Odds,,,,,,,
Place Markets,,,,,,,
Money Back,,,,,,,
Match Bets,,,,,,,
Betting Without,,,,,,,
Odds v Evens,,,,,,,
Show overview for all runners,,,,,,,
EW: 1/4 Odds 4 Places,,,,,,,
No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
11,7-4363,"Waterford Whispers (39)
J: Mr Alan O'sullivan
T: H De Bromhead","8-y-o
11st 6lb",149Spotlight,"7/2
4/1
9/2",4/1,SP
1,2-1225,"Jeriko Du Reponet (53)
J: Mr D O'connor
T: N J Henderson","7-y-o
12st 1lb",144Spotlight,"4/1
9/2
7/2",9/2,SP
19,U42245,"Kim Roque (39)
J: Mr J L Gleeson
T: J P O'brien","6-y-o
11st",146Spotlight,"6/1
11/2
6/1",11/2,SP
8,"7-5241
C","Herakles Westwood (70)
J: Mr F Maguire
T: W Greatrex","9-y-o
11st 6lb",150Spotlight,"10/1
11/1
10/1",9/1,SP
7,2P14F4,"Prends Garde A Toi (25)
J: Mr B O'neill
T: G Elliott","7-y-o
11st 6lb",144Spotlight,"12/1
11/1
12/1",11/1,SP
20,/30-82,"Gericault Roque (26)
J: Mr B Lawless
T: D Pipe","10-y-o
10st 12lb",154Spotlight,"16/1
14/1
16/1",14/1,SP
17,-3533P,"Road To Home (38)
J: Mr P W Mullins
T: W P Mullins","7-y-o
11st",146Spotlight,"12/1
14/1
16/1",14/1,SP
5,8-7760,"Sandor Clegane (75)
J: Mr J W Hendrick
T: P Nolan","9-y-o
11st 7lb",152Spotlight,"20/1
22/1
18/1",16/1,SP
